CAMIS,DBA,BORO,STREET,CUISINE DESCRIPTION,INSPECTION DATE,CRITICAL FLAG,SCORE,Latitude,Longitude,year
41418341,DAISY'S PIZZA WINGS & BURGERS,Bronx,LONGWOOD AVENUE,Chicken,2022-01-31,Critical,24.0,40.817142305327,-73.89764123101,2022
50059864,GIOVANNI RESTAURANT,Bronx,GRAND CONCOURSE,Italian,2019-05-09,Not Critical,85.0,40.819300109395,-73.926971448884,2019
41668846,FRUIT AND VEGETABLES ANAYELYS BOUTIQUE,Bronx,CRESCENT AVENUE,Spanish,2017-01-24,Critical,7.0,40.853687680321,-73.887922340273,2017
41206802,MORRONE PASTRY SHOP & CAFE,Bronx,ARTHUR AVENUE,Bakery Products/Desserts,2019-09-11,Not Critical,10.0,40.854407414694,-73.888553724437,2019
41206802,MORRONE PASTRY SHOP & CAFE,Bronx,ARTHUR AVENUE,Bakery Products/Desserts,2019-09-11,Not Critical,10.0,40.854407414694,-73.888553724437,2019
50113325,EXOTIC COFFEE,Bronx,FRANKLIN AVENUE,Coffee/Tea,2021-08-11,Critical,33.0,40.831890656967,-73.90175606964,2021
50013407,MEI YA KITCHEN,Bronx,GERARD AVENUE,Chinese,2018-06-04,Not Critical,13.0,40.827069325705,-73.925185109102,2018
50045738,KENNEDY FRIED CHICKEN,Bronx,EAST GUN HILL ROAD,Chicken,2021-07-28,Not Critical,9.0,40.870530711666,-73.846352516376,2021
41211257,LA ISLA RESTAURANT,Bronx,EAST 149 STREET,Latin American,2019-04-22,Critical,17.0,40.81729898454,-73.922468439951,2019
50070443,PAPA JOHN'S PIZZA,Bronx,WHITE PLAINS ROAD,Pizza,2020-02-12,Not Critical,26.0,40.886586975736,-73.861147043942,2020
41415856,BELLA NAPOLI,Bronx,KATONAH AVENUE,Pizza,2019-11-20,Critical,10.0,40.896721971034005,-73.86704349378701,2019
41593277,ELENA'S RESTUARANT,Bronx,WEST TREMONT AVENUE,Mexican,2018-09-27,Critical,10.0,40.851922642352,-73.909526955318,2018
41220219,NEW PEKING RESTAURANT,Bronx,EAST  183 STREET,Chinese,2019-05-08,Not Critical,,40.858524068167,-73.903209607901,2019
50069760,RANCHO ESTRELLA RESTAURANT,Bronx,EAST  187 STREET,Mexican,2019-02-14,Critical,33.0,40.855270522123,-73.887034008876,2019
41195691,F & J PINE RESTAURANT,Bronx,BRONXDALE AVENUE,Italian,2019-05-25,Critical,15.0,40.848944092381004,-73.862060891357,2019
41124419,BURGER HUT,Bronx,WESTCHESTER AVENUE,American,2019-05-23,Not Critical,19.0,0.0,0.0,2019
41385943,CHINA HOUSE RESTAURANT,Bronx,EAST  138 STREET,Chinese,2019-03-20,Not Critical,15.0,40.808091776766,-73.920521318205,2019
41385943,CHINA HOUSE RESTAURANT,Bronx,EAST  138 STREET,Chinese,2019-03-20,Not Critical,15.0,40.808091776766,-73.920521318205,2019
50073295,HAVANA EXPRESS,Bronx,HUTCHINSON RIVER PARKWAY,Mexican,2019-02-12,Critical,30.0,40.823678037301,-73.836420051252,2019
41598329,BOSTON ROAD CHINA,Bronx,BOSTON ROAD,Chinese,2018-01-23,Critical,20.0,40.876803402507,-73.84709011214599,2018
50094596,NEW DREAM STATION,Bronx,WHITE PLAINS ROAD,Chinese,2019-07-10,Not Critical,3.0,40.88385778394,-73.862653603457,2019
50034610,MAMA G AFRICAN KITCHEN,Bronx,WHITE PLAINS ROAD,African,2020-02-27,Critical,30.0,40.880316714458,-73.864653518319,2020
41566423,GOLDEN DRAGON RESTAURANT,Bronx,EAST TREMONT AVENUE,Chinese,2021-08-18,Not Critical,11.0,40.850452252618,-73.90707461578,2021
41435782,LACONIA PIZZERIA,Bronx,LACONIA AVENUE,Pizza,2019-11-18,Not Critical,20.0,40.88462843217,-73.849024964874,2019
50074432,LEGENDARY BAR & GRILL,Bronx,EAST TREMONT AVENUE,American,2018-05-15,Not Critical,10.0,40.830865521991,-73.826385450912,2018
41316593,CARIDAD & LOUIE'S RESTAURANT,Bronx,EAST GUN HILL ROAD,Latin American,2020-01-13,Critical,16.0,40.866017481114994,-73.837714700991,2020
50066139,La Patrona,Bronx,EAST  149 STREET,Mexican,2019-10-01,Critical,12.0,40.812573927468,-73.905960842182,2019
50079117,XINYA,Bronx,HUNTS POINT AVENUE,Chinese,2019-09-06,Critical,9.0,40.81926751693,-73.889591909599,2019
41491272,AZUL TEQUILA MEXICAN RESTAURANT,Bronx,LYDIG AVENUE,Mexican,2017-11-22,Critical,18.0,40.854439151763,-73.864449724702,2017
41160010,CHEFFY TWO RESTAURANT,Bronx,WHITE PLAINS ROAD,Caribbean,2020-02-28,Critical,16.0,40.90488253023,-73.849629949842,2020
41646786,LA ROLA RESTAURANT,Bronx,EAST  198 STREET,Spanish,2018-01-09,Critical,22.0,40.866020638107,-73.886021414235,2018
50080343,GINO'S PASTRY SHOP & CAFE,Bronx,EAST  187 STREET,Bakery Products/Desserts,2018-09-27,Critical,10.0,40.855806755903004,-73.888066968273,2018
50011004,BRAVO AFRICAN RESTAURANT,Bronx,WESTCHESTER AVENUE,African,2019-02-15,Critical,55.0,40.828407547546,-73.88136692926,2019
50095003,TWO BROTHERS PIZZA,Bronx,BUHRE AVENUE,Pizza,2019-10-10,Not Critical,13.0,40.847437069993,-73.83110231601,2019
